country,iso_code,year,external_debt_pct_gni,debt_service_pct_exports,gdp_growth_pct,reserves_months_imports,inflation_pct,score_debt_gni,score_debt_service,score_gdp_growth,score_reserves,score_inflation,indicators_available,debt_risk_score,trend_slope,years_used,risk_tier
Denmark,DNK,2024,,,3.47783593140312,4.4011771754,1.37220049768925,,,51.232275489534096,48.13596491228071,21.098708688991028,3,40.15564969693528,-1.0447974250265226,5.0,Moderate Risk
Djibouti,DJI,2024,83.8288747209446,2.52675252956975,6.98048467276334,0.850017224988692,2.1120116728497,85.0132625994695,10.049191848208013,15.32748143146523,93.44298245614036,31.538629897132854,5,47.0743096464832,-8.04451454797604,5.0,Moderate Risk
Dominica,DMA,2024,82.3567303337689,29.4152919032151,2.052738472526,3.69558058580778,2.56921890367725,84.41644562334217,89.24806746310611,68.41661039837948,57.52192982456141,38.21405121470781,5,67.5634209048194,2.011780199344474,5.0,Elevated Risk
Dominican Republic,DOM,2024,45.3336943010045,22.0407214085418,4.95352204492849,3.64946165656216,3.30223338951227,53.51458885941645,81.65846802529867,32.832545577312615,58.31140350877193,47.31888815933465,5,54.72717882602687,1.2415452959176787,5.0,Elevated Risk
Ecuador,ECU,2024,49.7486298154549,21.8576635137655,-1.94409022506859,2.19646330660103,1.54732515615369,57.89124668435013,81.4476458186929,90.85077650236326,78.0482456140351,23.76887721602101,5,66.40135836709248,0.9023491561310919,5.0,Elevated Risk
"Egypt, Arab Rep.",EGY,2024,41.9820138564051,49.2291017973666,2.3991692678251,4.53950764706677,28.2705899322082,49.80106100795756,97.6809557273366,64.55097906819717,46.118421052631575,97.2641715911578,5,71.08311768945615,1.3219772851902192,5.0,Elevated Risk
El Salvador,SLV,2024,75.3936981274716,96.1985835283834,2.5904637107794,2.11106481254746,0.853782292567288,81.06763925729443,99.71890372452566,62.25523295070899,79.29824561403508,15.123659444079667,5,67.49273619812877,-4.764409490327397,5.0,Elevated Risk
Estonia,EST,2024,,,-0.0900428648493801,0.677616718422652,3.5194118998392,,,85.16205266711681,95.0,49.90151017728168,3,76.68785428146617,3.3475599387662687,5.0,High Risk
Eswatini,SWZ,2024,27.7538826674716,7.67187532890614,3.03162462475916,1.90984811575409,,27.519893899204245,36.12087139845397,56.88723835246455,81.68859649122807,,4,50.55415003533771,0.5309899744674017,5.0,Elevated Risk
Ethiopia,ETH,2024,,11.538041500051,7.61277447616879,1.78062348919911,21.037746057771,,53.75966268446943,11.596893990546931,83.31140350877193,95.81965419128912,4,61.12190359376936,-3.595763441808936,5.0,Elevated Risk
Fiji,FJI,2024,71.3867600808353,9.53539168749024,3.53085896076352,4.44060726544964,3.89084237884105,77.91777188328912,44.9402670414617,50.52329507089805,47.54385964912281,53.81921645874371,5,54.94888202070307,-3.6176462805505727,5.0,Elevated Risk
Finland,FIN,2024,,,0.374566568538427,1.37183035715742,1.56568906231615,,,82.76502363268062,88.00438596491227,23.943970234186917,3,64.9044599439266,-1.9619722626225664,5.0,Elevated Risk
France,FRA,2024,,,1.19046798275883,2.38967906896664,1.99904942291462,,,76.60364618501013,75.7017543859649,29.722039833661636,3,60.67581346821223,2.120839304929357,5.0,Elevated Risk
Gabon,GAB,2024,35.9523010976641,,3.39403899521831,,1.17311998381218,40.31830238726791,,52.22822417285618,,18.82249945283432,3,37.12300867098613,-3.5458610443262684,5.0,Moderate Risk
"Gambia, The",GMB,2024,66.3566127091875,8.14420595794985,5.55126065805138,4.78961581785449,11.5610532897511,73.57427055702918,38.43991567111736,26.839972991222155,42.56578947368421,88.72838695557014,5,54.029667129724615,-5.990130936160365,5.0,Elevated Risk
Georgia,GEO,2024,79.6767852223944,26.5628823310302,9.67979379712661,2.29133957874542,1.10971758022096,83.12334217506631,87.0695713281799,5.266711681296414,76.9298245614035,18.14401400744145,5,54.10669275067752,-5.513439706630032,5.0,Elevated Risk
Germany,DEU,2024,,,-0.495851897260366,2.19993056961849,2.2564981433876,,,86.71505739365294,78.00438596491227,33.420879842416284,3,66.04677440032718,-0.435258969662977,5.0,Elevated Risk
Ghana,GHA,2024,46.9171668170777,9.43593175956357,5.84746854280382,1.64288426659843,22.8483281157842,55.03978779840849,44.51862262825018,24.189736664415943,84.71491228070175,96.34493324578682,5,60.96159852351264,-1.838398289636817,5.0,Elevated Risk
Greece,GRC,2024,,,2.0865743380603,1.2946773799263,2.74101875679477,,,68.04523970290344,88.88157894736842,40.249507550886406,3,65.72544206705275,2.6084496853300316,5.0,Elevated Risk
Grenada,GRD,2024,68.5938767489392,4.85035125902098,2.3996478454327,4.65136044657971,1.08615365134737,75.89522546419099,21.539002108222068,64.53409858203916,44.3640350877193,17.793827971109653,5,44.82523784265623,-1.888322861473835,5.0,Moderate Risk
Guatemala,GTM,2024,24.2444913245727,9.56215520029921,3.71558453779777,7.38533210656899,2.86992752918294,21.584880636604776,44.975404075896,48.36259284267387,20.06578947368422,42.263077259794265,5,35.450348857730624,-1.9065737010959771,5.0,Moderate Risk
Guinea,GIN,2024,23.1973863712568,3.729306337627,5.35004659049265,1.27721250120659,8.12313914948596,19.098143236074268,15.987350667603652,28.7305874409183,89.07894736842105,79.55789012913111,5,46.49058376842968,-1.4279302052348661,5.0,Moderate Risk
Guinea-Bissau,GNB,2024,67.1110649067659,13.2574468326414,4.40920107183611,,3.76555825770114,74.37002652519894,60.1194659170766,38.85887913571911,,52.74677172247757,4,56.52378582511806,-7.186674982224261,5.0,Elevated Risk
Guyana,GUY,2024,22.6406371146813,2.88572767868533,43.8192726391966,,2.90395226446373,18.037135278514587,12.087139845397049,0.1181634031060099,,42.74458305975049,4,18.246755396692038,-4.744920444233975,5.0,Low Risk
Haiti,HTI,2024,3.74484478267583,63.162658981726,-4.18495104762965,6.76937385035422,26.9490564091987,1.0941644562334218,98.94588896697118,94.73328831870356,23.7719298245614,97.00153206390894,5,63.10936072607569,11.198664608785208,5.0,Elevated Risk
Honduras,HND,2024,41.8233168617746,18.1160284769388,3.63240745450875,4.45504262054184,4.60621098127107,49.56896551724138,74.98243148278286,49.30790006752195,47.32456140350877,60.013131976362445,5,56.23939808948349,0.8906397918476414,5.0,Elevated Risk
Hungary,HUN,2024,,,0.709070599066038,2.85910415148819,3.70370370370369,,,80.65496286293045,69.29824561403508,52.068286277084695,3,67.34049825135007,3.4203461313861934,5.0,Elevated Risk
Iceland,ISL,2024,,,-1.2828764442695,4.82371261947128,5.85683849970066,,,89.31465226198515,42.236842105263165,68.78966951192821,3,66.7803879597255,6.344373698664451,5.0,Elevated Risk
India,IND,2024,18.5795533694083,10.493447761841,7.09927893176518,7.52136088188697,4.95303550973656,12.002652519893898,49.543218552354176,14.534098582039164,19.3640350877193,62.42066097614357,5,31.572933143630024,-1.0709265931280687,5.0,Moderate Risk
Indonesia,IDN,2024,30.9729980083421,24.6905963826299,5.03257477088519,5.72012468838059,2.18151273615189,32.82493368700265,85.17217146872804,31.88723835246455,31.754385964912277,32.435981615233096,5,42.81494221766812,-3.319492355058957,5.0,Moderate Risk
"Iran, Islamic Rep.",IRN,2024,2.21280566524888,0.284993582584259,3.66312057949303,,32.455871402917,0.3978779840848806,0.5621925509486999,48.95340985820391,,97.7894506456555,4,36.925732759723246,12.204038859872112,5.0,Moderate Risk
Iraq,IRQ,2024,6.22639916968424,2.95676245098624,-1.54525198319173,11.2072163127604,-12.2969837587007,1.7241379310344829,12.614195361911454,89.9392302498312,9.188596491228068,0.0656598818122127,5,22.70636398316348,3.980128878870479,5.0,Low Risk
Ireland,IRL,2024,,,2.59946721553708,0.1406788790813,2.11344999577317,,,62.17083051991897,98.92543859649123,31.582403151674328,3,64.22622408936151,-5.469591464839639,5.0,Elevated Risk
Israel,ISR,2024,,,0.953618469238535,15.8333842967618,3.07480889805025,,,78.83187035786631,4.627192982456137,44.91135915955351,3,42.79014083329199,6.477712450042158,5.0,Moderate Risk
Italy,ITA,2024,,,0.783039135276795,4.00727251232872,0.982373023061417,,,80.14854827819042,53.55263157894737,16.61195009848982,3,50.10437665187587,2.0719100703402398,5.0,Elevated Risk
Jamaica,JAM,2024,76.0700580586773,31.8505046193829,-0.535039063867487,6.47177111104504,5.41194447981659,81.43236074270557,91.46170063246664,86.91762322754896,25.83333333333333,66.01006784854454,5,70.3310171569198,2.644840431868201,5.0,Elevated Risk
Japan,JPN,2024,,,-0.240084236041696,13.0597480623605,2.73853681635241,,,85.66846725185685,6.820175438596493,40.1838476690742,3,44.224163453175855,4.930921868206346,5.0,Moderate Risk
Jordan,JOR,2024,90.1349716229773,18.1501287979427,2.55605891810194,7.7930820995367,1.55659611283953,87.23474801061008,75.05270555165144,62.59284267386901,18.201754385964904,23.812650470562485,5,53.37894021853158,-2.352277448326021,5.0,Elevated Risk
Kazakhstan,KAZ,2024,62.6029318152699,48.4343756201676,4.99999999996936,5.31995501664867,8.69082156104494,70.32493368700266,97.54040758959944,32.292370020256584,36.07456140350877,81.7027796016634,5,63.58701046040617,-6.3384513179213755,5.0,Elevated Risk
Kenya,KEN,2024,34.992669732423,27.2238636965006,4.66019594571891,4.02886150176485,4.48978854243448,38.660477453580896,87.5966268446943,35.95543551654288,53.31140350877193,59.22521339461589,5,54.94983134364118,-1.0379431310654583,5.0,Elevated Risk
"Korea, Rep.",KOR,2024,,,2.00361101838986,6.19834331246318,2.32174328643542,,,68.80486158001351,28.09210526315789,34.5370978332239,3,43.81135489213177,1.938054119455447,5.0,Moderate Risk
Kosovo,XKX,2024,38.6087239918158,7.17785302460144,4.5730971681166,1.87547512717992,1.61944994559476,44.263925729442974,33.661278988053404,36.90074274139096,82.19298245614036,24.688115561391992,5,44.341409095283936,2.213355977832809,5.0,Moderate Risk
Kuwait,KWT,2024,,,-1.47401818168846,8.95073906369193,2.89855072463762,,,89.77042538825118,14.100877192982452,42.52571678704312,3,48.79900645609225,0.8124650782149452,5.0,Moderate Risk
Kyrgyz Republic,KGZ,2024,69.2449937236268,13.953203049199,11.5397119406559,,4.99760701207323,76.42572944297082,63.17638791286016,2.9878460499662367,,62.81462026701685,4,51.35114591820352,-5.477986617312965,5.0,Elevated Risk
Lao PDR,LAO,2024,115.404417712173,19.0423898045972,4.13019264438475,2.39405886523859,23.1305695942588,94.06498673740052,77.12579058327476,42.5388251181634,75.6359649122807,96.49813963668198,5,77.17274139756027,-3.1626939727008345,5.0,High Risk
Latin America & Caribbean (excluding high income),LAC,2024,34.4971098134681,19.7725939034649,1.99001515816749,6.46817633905308,,37.8315649867374,78.17990161630358,69.04118838622551,25.877192982456137,,4,52.73246199293066,-0.3041456160220228,5.0,Elevated Risk
Latvia,LVA,2024,,,-0.0370556648288982,1.84788060721375,1.26579885828729,,,85.0270087778528,82.58771929824562,19.9168308163712,3,62.5105196308232,1.915506655850317,5.0,Elevated Risk
